54521	153809617
55451	228471789
55451	228471791
41865	269118978
58249	222147474
58249	222149835
57955	116250359
57955	116252994
57955	116253778
61563	187476667
59899	311109147
58557	157738095
58617	117618069
59395	237807988
59297	251790374
59391	238899921
52575	307259246
59083	213155359
59083	213155360
59083	213155361
59083	213155362
59083	213155363
59083	213155364
59083	213156414
59083	213157904
58373	93004802
58373	93004805
58373	93006283
58373	93006436
58373	93007054
59251	209695170
59251	209695496
59251	215538593
58163	59712084
58163	59712147
58927	153932043
59369	219856753
